"borough","year_month","total_complaints","complaints_per_10000"
STATEN ISLAND,"2023-06",11895,254.18
STATEN ISLAND,"2023-07",12337,263.63
STATEN ISLAND,"2023-08",12109,258.76
STATEN ISLAND,"2023-09",11371,242.99
STATEN ISLAND,"2023-10",11338,242.28
STATEN ISLAND,"2023-11",8647,184.78
STATEN ISLAND,"2023-12",8542,182.53
STATEN ISLAND,"2024-01",9467,202.30
STATEN ISLAND,"2024-02",8140,173.94
STATEN ISLAND,"2024-03",9818,209.80
STATEN ISLAND,"2024-04",9420,201.30
STATEN ISLAND,"2024-05",10102,215.87
STATEN ISLAND,"2024-06",11919,254.70
STATEN ISLAND,"2024-07",11815,252.47
STATEN ISLAND,"2024-08",10839,231.62
STATEN ISLAND,"2024-09",10396,222.15
STATEN ISLAND,"2024-10",10649,227.56
STATEN ISLAND,"2024-11",9591,204.95
STATEN ISLAND,"2024-12",9037,193.11
