"month_year","borough","complaint_type","rank","complaint_count"
"2010-01",BRONX,Noise - Residential,1,2997
"2010-01",BRONX,Street Light Condition,2,1568
"2010-01",BRONX,Street Condition,3,1005
"2010-01",BRONX,DHS Advantage - Tenant,4,823
"2010-01",BRONX,Traffic Signal Condition,5,739
"2010-01",BRONX,Blocked Driveway,6,595
"2010-01",BRONX,Literature Request,7,536
"2010-01",BRONX,Water System,8,448
"2010-01",BRONX,Dirty Conditions,9,436
"2010-01",BRONX,General Construction/Plumbing,10,412
"2010-01",BROOKLYN,Noise - Residential,1,2794
"2010-01",BROOKLYN,Street Condition,2,2738
"2010-01",BROOKLYN,Street Light Condition,3,2468
"2010-01",BROOKLYN,Literature Request,4,1781
"2010-01",BROOKLYN,Blocked Driveway,5,1498
"2010-01",BROOKLYN,Traffic Signal Condition,6,1447
"2010-01",BROOKLYN,General Construction/Plumbing,7,1322
"2010-01",BROOKLYN,Water System,8,1308
"2010-01",BROOKLYN,Sewer,9,842
"2010-01",BROOKLYN,Sanitation Condition,10,824
"2010-01",MANHATTAN,Noise - Residential,1,2290
"2010-01",MANHATTAN,Street Condition,2,1768
"2010-01",MANHATTAN,Traffic Signal Condition,3,1334
"2010-01",MANHATTAN,General Construction/Plumbing,4,1046
"2010-01",MANHATTAN,Graffiti,5,950
"2010-01",MANHATTAN,Noise,6,945
"2010-01",MANHATTAN,Taxi Complaint,7,941
"2010-01",MANHATTAN,Street Light Condition,8,849
"2010-01",MANHATTAN,Broken Muni Meter,9,778
"2010-01",MANHATTAN,Noise - Commercial,10,700
"2010-01",QUEENS,Street Light Condition,1,3175
"2010-01",QUEENS,Street Condition,2,2511
"2010-01",QUEENS,Literature Request,3,2021
"2010-01",QUEENS,Water System,4,1827
"2010-01",QUEENS,Noise - Residential,5,1637
"2010-01",QUEENS,Blocked Driveway,6,1545
"2010-01",QUEENS,Sewer,7,1380
"2010-01",QUEENS,Traffic Signal Condition,8,1330
"2010-01",QUEENS,Building/Use,9,1228
"2010-01",QUEENS,General Construction/Plumbing,10,1162
"2010-01",STATEN ISLAND,Street Condition,1,1278
"2010-01",STATEN ISLAND,Street Light Condition,2,784
"2010-01",STATEN ISLAND,Literature Request,3,621
"2010-01",STATEN ISLAND,Water System,4,575
"2010-01",STATEN ISLAND,Missed Collection (All Materials),5,373
"2010-01",STATEN ISLAND,Sewer,6,326
"2010-01",STATEN ISLAND,Noise - Residential,7,201
"2010-01",STATEN ISLAND,Traffic/Illegal Parking,8,195
"2010-01",STATEN ISLAND,General Construction/Plumbing,9,192
"2010-01",STATEN ISLAND,Dirty Conditions,10,189
"2010-02",BRONX,Noise - Residential,1,2802
"2010-02",BRONX,Street Condition,2,1434
"2010-02",BRONX,Street Light Condition,3,1408
"2010-02",BRONX,DHS Advantage - Tenant,4,805
"2010-02",BRONX,Traffic Signal Condition,5,786
"2010-02",BRONX,Snow,6,688
"2010-02",BRONX,Blocked Driveway,7,657
"2010-02",BRONX,Literature Request,8,453
"2010-02",BRONX,Dirty Conditions,9,360
"2010-02",BRONX,General Construction/Plumbing,10,349
"2010-02",BROOKLYN,Snow,1,3097
"2010-02",BROOKLYN,Noise - Residential,2,2671
"2010-02",BROOKLYN,Street Condition,3,2659
"2010-02",BROOKLYN,Street Light Condition,4,2233
"2010-02",BROOKLYN,Literature Request,5,1680
"2010-02",BROOKLYN,Blocked Driveway,6,1671
"2010-02",BROOKLYN,Traffic Signal Condition,7,1265
"2010-02",BROOKLYN,General Construction/Plumbing,8,1249
"2010-02",BROOKLYN,Sewer,9,848
"2010-02",BROOKLYN,Traffic/Illegal Parking,10,718
"2010-02",MANHATTAN,Noise - Residential,1,2244
"2010-02",MANHATTAN,Street Condition,2,1594
"2010-02",MANHATTAN,Traffic Signal Condition,3,1130
"2010-02",MANHATTAN,Street Light Condition,4,1101
"2010-02",MANHATTAN,Taxi Complaint,5,996
"2010-02",MANHATTAN,Noise,6,893
"2010-02",MANHATTAN,General Construction/Plumbing,7,835
"2010-02",MANHATTAN,Noise - Commercial,8,668
"2010-02",MANHATTAN,Literature Request,9,630
"2010-02",MANHATTAN,Broken Muni Meter,10,622
"2010-02",QUEENS,Street Light Condition,1,2683
"2010-02",QUEENS,Snow,2,2627
"2010-02",QUEENS,Street Condition,3,2502
"2010-02",QUEENS,Blocked Driveway,4,1802
"2010-02",QUEENS,Literature Request,5,1629
"2010-02",QUEENS,Noise - Residential,6,1528
"2010-02",QUEENS,Sewer,7,1466
"2010-02",QUEENS,Traffic Signal Condition,8,1422
"2010-02",QUEENS,Building/Use,9,1017
"2010-02",QUEENS,Water System,10,1009
"2010-02",STATEN ISLAND,Snow,1,1498
"2010-02",STATEN ISLAND,Street Condition,2,1442
"2010-02",STATEN ISLAND,Street Light Condition,3,577
"2010-02",STATEN ISLAND,Literature Request,4,474
"2010-02",STATEN ISLAND,Damaged Tree,5,464
"2010-02",STATEN ISLAND,Sewer,6,385
"2010-02",STATEN ISLAND,Water System,7,368
"2010-02",STATEN ISLAND,Traffic/Illegal Parking,8,231
"2010-02",STATEN ISLAND,Missed Collection (All Materials),9,206
"2010-02",STATEN ISLAND,Blocked Driveway,10,191
"2010-03",BRONX,Noise - Residential,1,2648
"2010-03",BRONX,Street Condition,2,2303
"2010-03",BRONX,Street Light Condition,3,2044
"2010-03",BRONX,Traffic Signal Condition,4,1182
"2010-03",BRONX,DHS Advantage - Tenant,5,917
"2010-03",BRONX,Graffiti,6,794
"2010-03",BRONX,Literature Request,7,700
"2010-03",BRONX,General Construction/Plumbing,8,645
"2010-03",BRONX,Blocked Driveway,9,580
"2010-03",BRONX,Dirty Conditions,10,577
"2010-03",BROOKLYN,Street Condition,1,5490
"2010-03",BROOKLYN,Street Light Condition,2,3346
"2010-03",BROOKLYN,Noise - Residential,3,2550
"2010-03",BROOKLYN,Damaged Tree,4,2241
"2010-03",BROOKLYN,Literature Request,5,2018
"2010-03",BROOKLYN,Traffic Signal Condition,6,2013
"2010-03",BROOKLYN,General Construction/Plumbing,7,1697
"2010-03",BROOKLYN,Blocked Driveway,8,1436
"2010-03",BROOKLYN,Sewer,9,1350
"2010-03",BROOKLYN,Dirty Conditions,10,914
"2010-03",MANHATTAN,Street Condition,1,2735
"2010-03",MANHATTAN,Noise - Residential,2,2277
"2010-03",MANHATTAN,Taxi Complaint,3,1513
"2010-03",MANHATTAN,General Construction/Plumbing,4,1281
"2010-03",MANHATTAN,Noise,5,1274
"2010-03",MANHATTAN,Traffic Signal Condition,6,1241
"2010-03",MANHATTAN,Street Light Condition,7,1046
"2010-03",MANHATTAN,Broken Muni Meter,8,905
"2010-03",MANHATTAN,Noise - Commercial,9,746
"2010-03",MANHATTAN,Literature Request,10,612
"2010-03",QUEENS,Street Condition,1,6307
"2010-03",QUEENS,Street Light Condition,2,3935
"2010-03",QUEENS,Sewer,3,2546
"2010-03",QUEENS,Literature Request,4,2230
"2010-03",QUEENS,Traffic Signal Condition,5,1772
"2010-03",QUEENS,Blocked Driveway,6,1657
"2010-03",QUEENS,Damaged Tree,7,1637
"2010-03",QUEENS,Water System,8,1599
"2010-03",QUEENS,Noise - Residential,9,1462
"2010-03",QUEENS,Building/Use,10,1359
"2010-03",STATEN ISLAND,Street Condition,1,3108
"2010-03",STATEN ISLAND,Damaged Tree,2,1586
"2010-03",STATEN ISLAND,Sewer,3,1128
"2010-03",STATEN ISLAND,Street Light Condition,4,858
"2010-03",STATEN ISLAND,Literature Request,5,783
"2010-03",STATEN ISLAND,Water System,6,408
"2010-03",STATEN ISLAND,Traffic Signal Condition,7,392
"2010-03",STATEN ISLAND,General Construction/Plumbing,8,321
"2010-03",STATEN ISLAND,Missed Collection (All Materials),9,289
"2010-03",STATEN ISLAND,Traffic/Illegal Parking,10,259
"2010-04",BRONX,Noise - Residential,1,2822
"2010-04",BRONX,Street Light Condition,2,2461
"2010-04",BRONX,Street Condition,3,1047
"2010-04",BRONX,Graffiti,4,764
"2010-04",BRONX,DHS Advantage - Tenant,5,743
"2010-04",BRONX,Literature Request,6,690
"2010-04",BRONX,Blocked Driveway,7,599
"2010-04",BRONX,Traffic Signal Condition,8,565
"2010-04",BRONX,Dirty Conditions,9,555
"2010-04",BRONX,General Construction/Plumbing,10,499
"2010-04",BROOKLYN,Street Condition,1,3451
"2010-04",BROOKLYN,Street Light Condition,2,3037
"2010-04",BROOKLYN,Noise - Residential,3,3008
"2010-04",BROOKLYN,Literature Request,4,1937
"2010-04",BROOKLYN,General Construction/Plumbing,5,1685
"2010-04",BROOKLYN,Blocked Driveway,6,1380
"2010-04",BROOKLYN,Traffic Signal Condition,7,1322
"2010-04",BROOKLYN,Water System,8,1039
"2010-04",BROOKLYN,Building/Use,9,889
"2010-04",BROOKLYN,Sanitation Condition,10,846
"2010-04",MANHATTAN,Noise - Residential,1,2545
"2010-04",MANHATTAN,Street Condition,2,2428
"2010-04",MANHATTAN,Taxi Complaint,3,1556
"2010-04",MANHATTAN,Street Light Condition,4,1460
"2010-04",MANHATTAN,Noise,5,1284
"2010-04",MANHATTAN,General Construction/Plumbing,6,1173
"2010-04",MANHATTAN,Broken Muni Meter,7,1061
"2010-04",MANHATTAN,Traffic Signal Condition,8,949
"2010-04",MANHATTAN,Noise - Commercial,9,918
"2010-04",MANHATTAN,Graffiti,10,769
"2010-04",QUEENS,Street Light Condition,1,3693
"2010-04",QUEENS,Street Condition,2,3605
"2010-04",QUEENS,Literature Request,3,2155
"2010-04",QUEENS,Sewer,4,1762
"2010-04",QUEENS,Noise - Residential,5,1734
"2010-04",QUEENS,Water System,6,1624
"2010-04",QUEENS,Building/Use,7,1454
"2010-04",QUEENS,Blocked Driveway,8,1448
"2010-04",QUEENS,General Construction/Plumbing,9,1291
"2010-04",QUEENS,Dirty Conditions,10,1236
"2010-04",STATEN ISLAND,Street Condition,1,1493
"2010-04",STATEN ISLAND,Street Light Condition,2,608
"2010-04",STATEN ISLAND,Literature Request,3,603
"2010-04",STATEN ISLAND,Water System,4,414
"2010-04",STATEN ISLAND,Sewer,5,402
"2010-04",STATEN ISLAND,General Construction/Plumbing,6,324
"2010-04",STATEN ISLAND,Noise - Residential,7,278
"2010-04",STATEN ISLAND,Missed Collection (All Materials),8,227
"2010-04",STATEN ISLAND,Traffic/Illegal Parking,9,219
"2010-04",STATEN ISLAND,Dirty Conditions,10,214
"2010-05",BRONX,Noise - Residential,1,2819
"2010-05",BRONX,Street Light Condition,2,1595
"2010-05",BRONX,Graffiti,3,919
"2010-05",BRONX,Street Condition,4,904
"2010-05",BRONX,Water System,5,825
"2010-05",BRONX,DHS Advantage - Tenant,6,730
"2010-05",BRONX,Literature Request,7,638
"2010-05",BRONX,Blocked Driveway,8,611
"2010-05",BRONX,Traffic Signal Condition,9,567
"2010-05",BRONX,General Construction/Plumbing,10,522
"2010-05",BROOKLYN,Noise - Residential,1,3531
"2010-05",BROOKLYN,Street Light Condition,2,2610
"2010-05",BROOKLYN,Street Condition,3,2377
"2010-05",BROOKLYN,Literature Request,4,1582
"2010-05",BROOKLYN,Blocked Driveway,5,1512
"2010-05",BROOKLYN,General Construction/Plumbing,6,1362
"2010-05",BROOKLYN,Traffic Signal Condition,7,1275
"2010-05",BROOKLYN,Damaged Tree,8,1128
"2010-05",BROOKLYN,Water System,9,1075
"2010-05",BROOKLYN,Sanitation Condition,10,1074
"2010-05",MANHATTAN,Noise - Residential,1,2324
"2010-05",MANHATTAN,Street Condition,2,1865
"2010-05",MANHATTAN,Taxi Complaint,3,1659
"2010-05",MANHATTAN,Noise,4,1657
"2010-05",MANHATTAN,Traffic Signal Condition,5,1200
"2010-05",MANHATTAN,Street Light Condition,6,1179
"2010-05",MANHATTAN,General Construction/Plumbing,7,1134
"2010-05",MANHATTAN,Noise - Street/Sidewalk,8,1050
"2010-05",MANHATTAN,Broken Muni Meter,9,993
"2010-05",MANHATTAN,Noise - Commercial,10,931
"2010-05",QUEENS,Street Light Condition,1,3492
"2010-05",QUEENS,Noise - Residential,2,2370
"2010-05",QUEENS,Damaged Tree,3,2345
"2010-05",QUEENS,Street Condition,4,2297
"2010-05",QUEENS,Literature Request,5,1779
"2010-05",QUEENS,Blocked Driveway,6,1622
"2010-05",QUEENS,Sewer,7,1593
"2010-05",QUEENS,Building/Use,8,1460
"2010-05",QUEENS,General Construction/Plumbing,9,1341
"2010-05",QUEENS,Dirty Conditions,10,1294
"2010-05",STATEN ISLAND,Street Condition,1,1024
"2010-05",STATEN ISLAND,Street Light Condition,2,621
"2010-05",STATEN ISLAND,Literature Request,3,590
"2010-05",STATEN ISLAND,Water System,4,563
"2010-05",STATEN ISLAND,Damaged Tree,5,407
"2010-05",STATEN ISLAND,Sewer,6,381
"2010-05",STATEN ISLAND,Noise - Residential,7,345
"2010-05",STATEN ISLAND,General Construction/Plumbing,8,313
"2010-05",STATEN ISLAND,Traffic/Illegal Parking,9,294
"2010-05",STATEN ISLAND,Sanitation Condition,10,273
"2010-06",BRONX,Water System,1,2753
"2010-06",BRONX,Street Light Condition,2,2325
"2010-06",BRONX,Noise - Residential,3,1904
"2010-06",BRONX,Street Condition,4,1293
"2010-06",BRONX,Literature Request,5,798
"2010-06",BRONX,DHS Advantage - Tenant,6,661
"2010-06",BRONX,Graffiti,7,642
"2010-06",BRONX,Blocked Driveway,8,596
"2010-06",BRONX,Traffic Signal Condition,9,512
"2010-06",BRONX,Rodent,10,496
"2010-06",BROOKLYN,Noise - Residential,1,2774
"2010-06",BROOKLYN,Street Light Condition,2,2769
"2010-06",BROOKLYN,Water System,3,2169
"2010-06",BROOKLYN,Street Condition,4,1945
"2010-06",BROOKLYN,Literature Request,5,1726
"2010-06",BROOKLYN,General Construction/Plumbing,6,1675
"2010-06",BROOKLYN,Blocked Driveway,7,1522
"2010-06",BROOKLYN,Sanitation Condition,8,1135
"2010-06",BROOKLYN,Traffic Signal Condition,9,994
"2010-06",BROOKLYN,Dirty Conditions,10,918
"2010-06",MANHATTAN,Water System,1,2397
"2010-06",MANHATTAN,Noise - Residential,2,1523
"2010-06",MANHATTAN,Taxi Complaint,3,1412
"2010-06",MANHATTAN,Street Condition,4,1342
"2010-06",MANHATTAN,Noise,5,1278
"2010-06",MANHATTAN,Street Light Condition,6,1196
"2010-06",MANHATTAN,Traffic Signal Condition,7,1134
"2010-06",MANHATTAN,General Construction/Plumbing,8,1027
"2010-06",MANHATTAN,Noise - Street/Sidewalk,9,900
"2010-06",MANHATTAN,Broken Muni Meter,10,753
"2010-06",QUEENS,Street Light Condition,1,3372
"2010-06",QUEENS,Street Condition,2,2463
"2010-06",QUEENS,Water System,3,2038
"2010-06",QUEENS,Literature Request,4,1998
"2010-06",QUEENS,Noise - Residential,5,1874
"2010-06",QUEENS,Blocked Driveway,6,1582
"2010-06",QUEENS,Sewer,7,1351
"2010-06",QUEENS,Damaged Tree,8,1292
"2010-06",QUEENS,General Construction/Plumbing,9,1229
"2010-06",QUEENS,Building/Use,10,1215
"2010-06",STATEN ISLAND,Street Condition,1,782
"2010-06",STATEN ISLAND,Street Light Condition,2,709
"2010-06",STATEN ISLAND,Literature Request,3,591
"2010-06",STATEN ISLAND,Water System,4,397
"2010-06",STATEN ISLAND,Sewer,5,317
"2010-06",STATEN ISLAND,Sanitation Condition,6,302
"2010-06",STATEN ISLAND,Overgrown Tree/Branches,7,301
"2010-06",STATEN ISLAND,General Construction/Plumbing,8,300
"2010-06",STATEN ISLAND,Noise - Residential,9,286
"2010-06",STATEN ISLAND,Missed Collection (All Materials),10,255
"2010-07",BRONX,Water System,1,4810
"2010-07",BRONX,Street Light Condition,2,2147
"2010-07",BRONX,Noise - Residential,3,2090
"2010-07",BRONX,Damaged Tree,4,826
"2010-07",BRONX,Street Condition,5,679
"2010-07",BRONX,DHS Advantage - Tenant,6,675
"2010-07",BRONX,Blocked Driveway,7,599
"2010-07",BRONX,Dirty Conditions,8,506
"2010-07",BRONX,General Construction/Plumbing,9,501
"2010-07",BRONX,Rodent,10,484
"2010-07",BROOKLYN,Water System,1,5015
"2010-07",BROOKLYN,Noise - Residential,2,2620
"2010-07",BROOKLYN,Street Light Condition,3,2516
"2010-07",BROOKLYN,Street Condition,4,1967
"2010-07",BROOKLYN,General Construction/Plumbing,5,1531
"2010-07",BROOKLYN,Blocked Driveway,6,1406
"2010-07",BROOKLYN,Literature Request,7,1341
"2010-07",BROOKLYN,Sanitation Condition,8,1066
"2010-07",BROOKLYN,Sewer,9,1009
"2010-07",BROOKLYN,Dirty Conditions,10,948
"2010-07",MANHATTAN,Water System,1,3726
"2010-07",MANHATTAN,Street Condition,2,1473
"2010-07",MANHATTAN,Noise - Residential,3,1337
"2010-07",MANHATTAN,Taxi Complaint,4,1269
"2010-07",MANHATTAN,Street Light Condition,5,1190
"2010-07",MANHATTAN,Traffic Signal Condition,6,1026
"2010-07",MANHATTAN,General Construction/Plumbing,7,1002
"2010-07",MANHATTAN,Noise - Street/Sidewalk,8,846
"2010-07",MANHATTAN,Noise,9,835
"2010-07",MANHATTAN,Broken Muni Meter,10,831
"2010-07",QUEENS,Water System,1,3539
"2010-07",QUEENS,Street Light Condition,2,2782
"2010-07",QUEENS,Noise - Residential,3,1942
"2010-07",QUEENS,Dirty Conditions,4,1836
"2010-07",QUEENS,Street Condition,5,1618
"2010-07",QUEENS,Literature Request,6,1570
"2010-07",QUEENS,Blocked Driveway,7,1504
"2010-07",QUEENS,General Construction/Plumbing,8,1356
"2010-07",QUEENS,Sewer,9,1316
"2010-07",QUEENS,Damaged Tree,10,1313
"2010-07",STATEN ISLAND,Street Condition,1,721
"2010-07",STATEN ISLAND,Literature Request,2,538
"2010-07",STATEN ISLAND,Street Light Condition,3,522
"2010-07",STATEN ISLAND,Water System,4,496
"2010-07",STATEN ISLAND,Sewer,5,300
"2010-07",STATEN ISLAND,Noise - Residential,6,286
"2010-07",STATEN ISLAND,Sanitation Condition,7,254
"2010-07",STATEN ISLAND,General Construction/Plumbing,8,252
"2010-07",STATEN ISLAND,Overgrown Tree/Branches,9,242
"2010-07",STATEN ISLAND,Dirty Conditions,10,223
"2010-08",BRONX,Noise - Residential,1,2427
"2010-08",BRONX,Street Light Condition,2,1871
"2010-08",BRONX,Water System,3,1564
"2010-08",BRONX,Street Condition,4,936
"2010-08",BRONX,DHS Advantage - Tenant,5,861
"2010-08",BRONX,General Construction/Plumbing,6,546
"2010-08",BRONX,Blocked Driveway,7,537
"2010-08",BRONX,DHS Advantage -Landlord/Broker,8,520
"2010-08",BRONX,Dirty Conditions,9,514
"2010-08",BRONX,Rodent,10,477
"2010-08",BROOKLYN,Noise - Residential,1,3084
"2010-08",BROOKLYN,Street Light Condition,2,2357
"2010-08",BROOKLYN,Street Condition,3,1939
"2010-08",BROOKLYN,Water System,4,1868
"2010-08",BROOKLYN,General Construction/Plumbing,5,1717
"2010-08",BROOKLYN,Literature Request,6,1461
"2010-08",BROOKLYN,Blocked Driveway,7,1397
"2010-08",BROOKLYN,Sanitation Condition,8,1120
"2010-08",BROOKLYN,Traffic Signal Condition,9,1006
"2010-08",BROOKLYN,Rodent,10,904
"2010-08",MANHATTAN,Noise - Residential,1,1460
"2010-08",MANHATTAN,Street Condition,2,1365
"2010-08",MANHATTAN,Taxi Complaint,3,1355
"2010-08",MANHATTAN,Water System,4,1219
"2010-08",MANHATTAN,General Construction/Plumbing,5,1148
"2010-08",MANHATTAN,Street Light Condition,6,1050
"2010-08",MANHATTAN,Noise - Street/Sidewalk,7,1003
"2010-08",MANHATTAN,Traffic Signal Condition,8,973
"2010-08",MANHATTAN,Broken Muni Meter,9,965
"2010-08",MANHATTAN,Noise,10,963
"2010-08",QUEENS,Street Light Condition,1,3194
"2010-08",QUEENS,Noise - Residential,2,2277
"2010-08",QUEENS,Sewer,3,1819
"2010-08",QUEENS,Literature Request,4,1795
"2010-08",QUEENS,Water System,5,1684
"2010-08",QUEENS,Street Condition,6,1602
"2010-08",QUEENS,Blocked Driveway,7,1574
"2010-08",QUEENS,General Construction/Plumbing,8,1567
"2010-08",QUEENS,Dirty Conditions,9,1365
"2010-08",QUEENS,Building/Use,10,1229
"2010-08",STATEN ISLAND,Street Light Condition,1,649
"2010-08",STATEN ISLAND,Street Condition,2,629
"2010-08",STATEN ISLAND,Literature Request,3,601
"2010-08",STATEN ISLAND,Water System,4,593
"2010-08",STATEN ISLAND,Noise - Residential,5,365
"2010-08",STATEN ISLAND,Sewer,6,299
"2010-08",STATEN ISLAND,Sanitation Condition,7,266
"2010-08",STATEN ISLAND,General Construction/Plumbing,8,259
"2010-08",STATEN ISLAND,Illegal Parking,9,250
"2010-08",STATEN ISLAND,Root/Sewer/Sidewalk Condition,10,246
"2010-09",BRONX,Noise - Residential,1,2653
"2010-09",BRONX,Street Light Condition,2,1924
"2010-09",BRONX,DHS Advantage - Tenant,3,908
"2010-09",BRONX,Water System,4,879
"2010-09",BRONX,Street Condition,5,743
"2010-09",BRONX,Blocked Driveway,6,581
"2010-09",BRONX,Dirty Conditions,7,565
"2010-09",BRONX,DHS Advantage -Landlord/Broker,8,563
"2010-09",BRONX,General Construction/Plumbing,9,529
"2010-09",BRONX,Traffic Signal Condition,10,472
"2010-09",BROOKLYN,Noise - Residential,1,3141
"2010-09",BROOKLYN,Street Light Condition,2,2711
"2010-09",BROOKLYN,Damaged Tree,3,2006
"2010-09",BROOKLYN,Street Condition,4,1630
"2010-09",BROOKLYN,General Construction/Plumbing,5,1615
"2010-09",BROOKLYN,Blocked Driveway,6,1528
"2010-09",BROOKLYN,Literature Request,7,1460
"2010-09",BROOKLYN,Traffic Signal Condition,8,1125
"2010-09",BROOKLYN,Water System,9,1103
"2010-09",BROOKLYN,Sanitation Condition,10,993
"2010-09",MANHATTAN,Street Condition,1,1829
"2010-09",MANHATTAN,Noise - Residential,2,1720
"2010-09",MANHATTAN,Taxi Complaint,3,1429
"2010-09",MANHATTAN,Noise,4,1391
"2010-09",MANHATTAN,Street Light Condition,5,1329
"2010-09",MANHATTAN,General Construction/Plumbing,6,1073
"2010-09",MANHATTAN,Traffic Signal Condition,7,1047
"2010-09",MANHATTAN,Broken Muni Meter,8,919
"2010-09",MANHATTAN,Water System,9,901
"2010-09",MANHATTAN,Noise - Street/Sidewalk,10,900
"2010-09",QUEENS,Damaged Tree,1,8234
"2010-09",QUEENS,Street Light Condition,2,3386
"2010-09",QUEENS,Noise - Residential,3,2331
"2010-09",QUEENS,Blocked Driveway,4,1834
"2010-09",QUEENS,Sewer,5,1542
"2010-09",QUEENS,Literature Request,6,1523
"2010-09",QUEENS,Street Condition,7,1423
"2010-09",QUEENS,General Construction/Plumbing,8,1342
"2010-09",QUEENS,Building/Use,9,1299
"2010-09",QUEENS,Water System,10,1292
"2010-09",STATEN ISLAND,Damaged Tree,1,652
"2010-09",STATEN ISLAND,Street Condition,2,515
"2010-09",STATEN ISLAND,Literature Request,3,512
"2010-09",STATEN ISLAND,Street Light Condition,4,480
"2010-09",STATEN ISLAND,Sewer,5,402
"2010-09",STATEN ISLAND,Noise - Residential,6,327
"2010-09",STATEN ISLAND,Overgrown Tree/Branches,7,286
"2010-09",STATEN ISLAND,Illegal Parking,8,276
"2010-09",STATEN ISLAND,Water System,9,261
"2010-09",STATEN ISLAND,General Construction/Plumbing,10,251
"2010-10",BRONX,Noise - Residential,1,2916
"2010-10",BRONX,Street Light Condition,2,2011
"2010-10",BRONX,DHS Advantage - Tenant,3,773
"2010-10",BRONX,Blocked Driveway,4,662
"2010-10",BRONX,Traffic Signal Condition,5,662
"2010-10",BRONX,Street Condition,6,617
"2010-10",BRONX,Dirty Conditions,7,526
"2010-10",BRONX,General Construction/Plumbing,8,480
"2010-10",BRONX,DHS Advantage -Landlord/Broker,9,426
"2010-10",BRONX,Sewer,10,414
"2010-10",BROOKLYN,Street Light Condition,1,2939
"2010-10",BROOKLYN,Noise - Residential,2,2908
"2010-10",BROOKLYN,Street Condition,3,1878
"2010-10",BROOKLYN,Blocked Driveway,4,1755
"2010-10",BROOKLYN,General Construction/Plumbing,5,1428
"2010-10",BROOKLYN,Literature Request,6,1404
"2010-10",BROOKLYN,Sewer,7,1366
"2010-10",BROOKLYN,Traffic Signal Condition,8,1222
"2010-10",BROOKLYN,Sanitation Condition,9,952
"2010-10",BROOKLYN,Illegal Parking,10,918
"2010-10",MANHATTAN,Noise - Residential,1,2681
"2010-10",MANHATTAN,Street Condition,2,1825
"2010-10",MANHATTAN,Noise,3,1600
"2010-10",MANHATTAN,Taxi Complaint,4,1424
"2010-10",MANHATTAN,Street Light Condition,5,1377
"2010-10",MANHATTAN,Traffic Signal Condition,6,1247
"2010-10",MANHATTAN,Noise - Commercial,7,1173
"2010-10",MANHATTAN,Broken Muni Meter,8,1053
"2010-10",MANHATTAN,General Construction/Plumbing,9,924
"2010-10",MANHATTAN,Noise - Street/Sidewalk,10,797
"2010-10",QUEENS,Street Light Condition,1,3391
"2010-10",QUEENS,Blocked Driveway,2,1978
"2010-10",QUEENS,Noise - Residential,3,1955
"2010-10",QUEENS,Sewer,4,1839
"2010-10",QUEENS,Damaged Tree,5,1693
"2010-10",QUEENS,Water System,6,1427
"2010-10",QUEENS,Literature Request,7,1418
"2010-10",QUEENS,Street Condition,8,1329
"2010-10",QUEENS,General Construction/Plumbing,9,1285
"2010-10",QUEENS,Building/Use,10,1168
"2010-10",STATEN ISLAND,Street Condition,1,647
"2010-10",STATEN ISLAND,Street Light Condition,2,549
"2010-10",STATEN ISLAND,Literature Request,3,437
"2010-10",STATEN ISLAND,Water System,4,402
"2010-10",STATEN ISLAND,Sewer,5,366
"2010-10",STATEN ISLAND,Damaged Tree,6,298
"2010-10",STATEN ISLAND,Noise - Residential,7,272
"2010-10",STATEN ISLAND,Illegal Parking,8,271
"2010-10",STATEN ISLAND,General Construction/Plumbing,9,249
"2010-10",STATEN ISLAND,Sanitation Condition,10,242
"2010-11",BRONX,Noise - Residential,1,2821
"2010-11",BRONX,Street Light Condition,2,1570
"2010-11",BRONX,Lead,3,725
"2010-11",BRONX,Blocked Driveway,4,671
"2010-11",BRONX,DHS Advantage - Tenant,5,638
"2010-11",BRONX,Dirty Conditions,6,535
"2010-11",BRONX,Street Condition,7,515
"2010-11",BRONX,General Construction/Plumbing,8,501
"2010-11",BRONX,Traffic Signal Condition,9,411
"2010-11",BRONX,DHS Advantage -Landlord/Broker,10,396
"2010-11",BROOKLYN,Noise - Residential,1,2557
"2010-11",BROOKLYN,Lead,2,2523
"2010-11",BROOKLYN,Street Light Condition,3,2479
"2010-11",BROOKLYN,Street Condition,4,1778
"2010-11",BROOKLYN,Blocked Driveway,5,1717
"2010-11",BROOKLYN,General Construction/Plumbing,6,1404
"2010-11",BROOKLYN,Literature Request,7,1371
"2010-11",BROOKLYN,Traffic Signal Condition,8,1179
"2010-11",BROOKLYN,Water System,9,898
"2010-11",BROOKLYN,Illegal Parking,10,831
"2010-11",MANHATTAN,Noise - Residential,1,2344
"2010-11",MANHATTAN,Lead,2,2313
"2010-11",MANHATTAN,Noise,3,1547
"2010-11",MANHATTAN,Street Condition,4,1449
"2010-11",MANHATTAN,Taxi Complaint,5,1335
"2010-11",MANHATTAN,Street Light Condition,6,1105
"2010-11",MANHATTAN,Traffic Signal Condition,7,1096
"2010-11",MANHATTAN,Broken Muni Meter,8,934
"2010-11",MANHATTAN,General Construction/Plumbing,9,928
"2010-11",MANHATTAN,Noise - Commercial,10,777
"2010-11",QUEENS,Street Light Condition,1,2909
"2010-11",QUEENS,Lead,2,1905
"2010-11",QUEENS,Blocked Driveway,3,1824
"2010-11",QUEENS,Noise - Residential,4,1628
"2010-11",QUEENS,Water System,5,1380
"2010-11",QUEENS,Literature Request,6,1352
"2010-11",QUEENS,Sewer,7,1327
"2010-11",QUEENS,Street Condition,8,1256
