"month_year","complaint_type","rank","cantidad_reclamos"
"2011-03",PLUMBING,4,10152
"2011-03",Street Light Condition,5,9775
"2011-03",Noise - Residential,6,9276
"2011-03",PAINT - PLASTER,7,8938
"2011-03",NONCONST,8,5264
"2011-03",Literature Request,9,4678
"2011-03",General Construction/Plumbing,10,4535
"2011-04",HEATING,1,11788
"2011-04",Street Condition,2,11215
"2011-04",GENERAL CONSTRUCTION,3,9629
"2011-04",Noise - Residential,4,9409
"2011-04",Street Light Condition,5,8574
"2011-04",PLUMBING,6,8015
"2011-04",PAINT - PLASTER,7,7164
"2011-04",General Construction/Plumbing,8,5012
"2011-04",NONCONST,9,4902
"2011-04",Literature Request,10,4274
"2011-05",Noise - Residential,1,10543
"2011-05",Street Condition,2,10083
"2011-05",GENERAL CONSTRUCTION,3,9653
"2011-05",Street Light Condition,4,8875
"2011-05",PLUMBING,5,7477
"2011-05",PAINT - PLASTER,6,6876
"2011-05",NONCONST,7,5174
"2011-05",Literature Request,8,4981
"2011-05",General Construction/Plumbing,9,4383
"2011-05",HEATING,10,4362
"2011-06",GENERAL CONSTRUCTION,1,10172
"2011-06",Noise - Residential,2,9036
"2011-06",Street Light Condition,3,8828
"2011-06",Literature Request,4,8333
"2011-06",Water System,5,8080
"2011-06",PLUMBING,6,7652
"2011-06",Street Condition,7,7594
"2011-06",PAINT - PLASTER,8,7050
"2011-06",NONCONST,9,5970
"2011-06",General Construction/Plumbing,10,4731
"2011-07",Water System,1,15860
"2011-07",GENERAL CONSTRUCTION,2,9862
"2011-07",Noise - Residential,3,8763
"2011-07",PLUMBING,4,7909
"2011-07",Street Light Condition,5,7516
"2011-07",PAINT - PLASTER,6,6578
"2011-07",NONCONST,7,6567
"2011-07",Street Condition,8,6392
"2011-07",General Construction/Plumbing,9,4329
"2011-07",Literature Request,10,3829
"2011-08",Damaged Tree,1,11910
"2011-08",GENERAL CONSTRUCTION,2,11037
"2011-08",PLUMBING,3,10579
"2011-08",PAINT - PLASTER,4,9580
"2011-08",Street Light Condition,5,9464
"2011-08",Sewer,6,8930
"2011-08",Noise - Residential,7,7807
"2011-08",Street Condition,8,6749
"2011-08",NONCONST,9,6598
"2011-08",Water System,10,5126
"2011-09",GENERAL CONSTRUCTION,1,13022
"2011-09",PLUMBING,2,12328
"2011-09",PAINT - PLASTER,3,11572
"2011-09",Noise - Residential,4,9685
"2011-09",Street Light Condition,5,9055
"2011-09",Street Condition,6,6498
"2011-09",NONCONST,7,6218
"2011-09",Sewer,8,4855
"2011-09",Damaged Tree,9,4597
"2011-09",Literature Request,10,4105
"2011-10",HEATING,1,22105
"2011-10",GENERAL CONSTRUCTION,2,13577
"2011-10",PLUMBING,3,10757
"2011-10",PAINT - PLASTER,4,10342
"2011-10",Noise - Residential,5,9595
"2011-10",Street Light Condition,6,7814
"2011-10",NONCONST,7,6468
"2011-10",Street Condition,8,6044
"2011-10",Blocked Driveway,9,4193
"2011-10",Damaged Tree,10,4127
"2011-11",HEATING,1,25360
"2011-11",GENERAL CONSTRUCTION,2,11901
"2011-11",PLUMBING,3,9918
"2011-11",Noise - Residential,4,9051
"2011-11",PAINT - PLASTER,5,8937
"2011-11",Street Light Condition,6,7321
"2011-11",NONCONST,7,5949
"2011-11",Street Condition,8,5386
"2011-11",Blocked Driveway,9,4572
"2011-11",Water System,10,4004
"2011-12",HEATING,1,32483
"2011-12",GENERAL CONSTRUCTION,2,11389
"2011-12",Noise - Residential,3,10135
"2011-12",PLUMBING,4,9278
"2011-12",PAINT - PLASTER,5,8144
"2011-12",Street Light Condition,6,8121
"2011-12",NONCONST,7,5509
"2011-12",Street Condition,8,5321
"2011-12",Blocked Driveway,9,4583
"2011-12",Traffic Signal Condition,10,3704
"2012-01",HEATING,1,38491
"2012-01",GENERAL CONSTRUCTION,2,12008
"2012-01",Noise - Residential,3,9889
"2012-01",PLUMBING,4,9391
"2012-01",PAINT - PLASTER,5,8338
"2012-01",Street Light Condition,6,7409
"2012-01",Street Condition,7,6395
"2012-01",NONCONST,8,5495
"2012-01",Traffic Signal Condition,9,4566
"2012-01",Blocked Driveway,10,4153
"2012-02",HEATING,1,21464
"2012-02",GENERAL CONSTRUCTION,2,9569
"2012-02",Noise - Residential,3,9089
"2012-02",Street Light Condition,4,7646
"2012-02",PLUMBING,5,7646
"2012-02",PAINT - PLASTER,6,6498
"2012-02",Street Condition,7,5509
"2012-02",NONCONST,8,4336
"2012-02",Blocked Driveway,9,3634
"2012-02",General Construction/Plumbing,10,3053
"2012-03",HEATING,1,15291
"2012-03",Noise - Residential,2,10144
"2012-03",GENERAL CONSTRUCTION,3,9623
"2012-03",Street Light Condition,4,8435
"2012-03",PLUMBING,5,7336
"2012-03",Street Condition,6,6829
"2012-03",PAINT - PLASTER,7,6666
"2012-03",NONCONST,8,4684
"2012-03",Blocked Driveway,9,4245
"2012-03",General Construction/Plumbing,10,4189
"2012-04",HEATING,1,11192
"2012-04",Noise - Residential,2,10236
"2012-04",GENERAL CONSTRUCTION,3,8345
"2012-04",Street Light Condition,4,7494
"2012-04",PLUMBING,5,6303
"2012-04",PAINT - PLASTER,6,5913
"2012-04",Street Condition,7,5433
"2012-04",Literature Request,8,4218
"2012-04",NONCONST,9,3999
"2012-04",Blocked Driveway,10,3979
"2012-05",Noise - Residential,1,11302
"2012-05",GENERAL CONSTRUCTION,2,8550
"2012-05",Street Light Condition,3,8482
"2012-05",PLUMBING,4,6831
"2012-05",Street Condition,5,6155
"2012-05",PAINT - PLASTER,6,6085
"2012-05",Water System,7,4698
"2012-05",NONCONST,8,4516
"2012-05",General Construction/Plumbing,9,4378
"2012-05",Blocked Driveway,10,4247
"2012-06",Noise - Residential,1,10349
"2012-06",Water System,2,10130
"2012-06",Street Light Condition,3,8346
"2012-06",GENERAL CONSTRUCTION,4,8318
"2012-06",PLUMBING,5,6648
"2012-06",Street Condition,6,6390
"2012-06",PAINT - PLASTER,7,5968
"2012-06",NONCONST,8,5115
"2012-06",Blocked Driveway,9,4289
"2012-06",General Construction/Plumbing,10,3946
"2012-07",Water System,1,13783
"2012-07",Noise - Residential,2,9790
"2012-07",GENERAL CONSTRUCTION,3,9086
"2012-07",Street Light Condition,4,7286
"2012-07",PLUMBING,5,7053
"2012-07",PAINT - PLASTER,6,6267
"2012-07",NONCONST,7,6178
"2012-07",Street Condition,8,5808
"2012-07",Blocked Driveway,9,4171
"2012-07",General Construction/Plumbing,10,4077
"2012-08",Noise - Residential,1,10869
"2012-08",GENERAL CONSTRUCTION,2,9467
"2012-08",Street Light Condition,3,7741
