"month_year","agency","agency_name","complaint_count","avg_resolution_hours"
"2022-04",DEP,Department of Environmental Protection,12162,130.16
"2022-04",DOT,Department of Transportation,20779,293.66
"2022-04",DSNY,Department of Sanitation,18726,475.63
"2022-04",HPD,Department of Housing Preservation and Development,45287,381.93
"2022-04",NYPD,New York City Police Department,105829,1.81
"2022-05",DEP,Department of Environmental Protection,15027,115.26
"2022-05",DOT,Department of Transportation,20654,279.93
"2022-05",DSNY,Department of Sanitation,21311,711.65
"2022-05",HPD,Department of Housing Preservation and Development,35487,428.47
"2022-05",NYPD,New York City Police Department,144906,12.68
"2022-06",DEP,Department of Environmental Protection,13931,116.91
"2022-06",DOT,Department of Transportation,20715,263.07
"2022-06",DSNY,Department of Sanitation,24025,493.38
"2022-06",HPD,Department of Housing Preservation and Development,32946,467.54
"2022-06",NYPD,New York City Police Department,135250,1.94
"2022-07",DEP,Department of Environmental Protection,19990,88.81
"2022-07",DOT,Department of Transportation,17889,266.69
"2022-07",DSNY,Department of Sanitation,24898,338.43
"2022-07",HPD,Department of Housing Preservation and Development,36020,546.05
"2022-07",NYPD,New York City Police Department,153544,2.96
"2022-08",DEP,Department of Environmental Protection,17287,97.82
"2022-08",DOT,Department of Transportation,21355,700.18
"2022-08",DSNY,Department of Sanitation,25199,373.25
"2022-08",HPD,Department of Housing Preservation and Development,36584,607.82
"2022-08",NYPD,New York City Police Department,124585,1.73
"2022-09",DEP,Department of Environmental Protection,14806,119.48
"2022-09",DOT,Department of Transportation,18122,302.90
"2022-09",DSNY,Department of Sanitation,22926,296.00
"2022-09",HPD,Department of Housing Preservation and Development,35494,599.79
"2022-09",NYPD,New York City Police Department,138511,2.10
"2022-10",DEP,Department of Environmental Protection,12045,109.94
"2022-10",DOT,Department of Transportation,17498,309.47
"2022-10",DSNY,Department of Sanitation,21942,409.09
"2022-10",HPD,Department of Housing Preservation and Development,61402,471.71
"2022-10",NYPD,New York City Police Department,115891,1.66
"2022-11",DEP,Department of Environmental Protection,11931,108.03
"2022-11",DOT,Department of Transportation,15737,314.80
"2022-11",DSNY,Department of Sanitation,20653,339.09
"2022-11",HPD,Department of Housing Preservation and Development,67786,515.42
"2022-11",NYPD,New York City Police Department,98260,1.88
"2022-12",DEP,Department of Environmental Protection,12946,107.00
"2022-12",DOT,Department of Transportation,16625,262.75
"2022-12",DSNY,Department of Sanitation,20046,543.23
"2022-12",HPD,Department of Housing Preservation and Development,90578,410.06
"2022-12",NYPD,New York City Police Department,90596,2.44
"2023-01",DEP,Department of Environmental Protection,12516,95.37
"2023-01",DOT,Department of Transportation,18442,267.18
"2023-01",DSNY,Department of Sanitation,20245,258.45
"2023-01",HPD,Department of Housing Preservation and Development,64540,469.22
"2023-01",NYPD,New York City Police Department,96875,2.12
"2023-02",DEP,Department of Environmental Protection,10900,101.28
"2023-02",DOT,Department of Transportation,16542,245.72
"2023-02",DSNY,Department of Sanitation,17250,374.74
"2023-02",HPD,Department of Housing Preservation and Development,65055,389.16
"2023-02",NYPD,New York City Police Department,87253,2.92
"2023-03",DEP,Department of Environmental Protection,12363,94.75
"2023-03",DOT,Department of Transportation,19592,243.68
"2023-03",DSNY,Department of Sanitation,20205,204.70
"2023-03",HPD,Department of Housing Preservation and Development,60780,402.50
"2023-03",NYPD,New York City Police Department,101275,2.64
"2023-04",DEP,Department of Environmental Protection,12949,92.35
"2023-04",DOT,Department of Transportation,15391,271.49
"2023-04",DSNY,Department of Sanitation,23015,201.25
"2023-04",HPD,Department of Housing Preservation and Development,45146,492.14
"2023-04",NYPD,New York City Police Department,111196,2.79
"2023-05",DEP,Department of Environmental Protection,14581,101.95
"2023-05",DOT,Department of Transportation,15760,276.04
"2023-05",DSNY,Department of Sanitation,26898,142.46
"2023-05",HPD,Department of Housing Preservation and Development,40437,522.78
"2023-05",NYPD,New York City Police Department,133681,1.77
"2023-06",DEP,Department of Environmental Protection,12859,110.89
"2023-06",DOT,Department of Transportation,14775,254.45
"2023-06",DSNY,Department of Sanitation,27933,164.29
"2023-06",HPD,Department of Housing Preservation and Development,35722,511.42
"2023-06",NYPD,New York City Police Department,129292,1.21
"2023-07",DEP,Department of Environmental Protection,21197,73.79
"2023-07",DOT,Department of Transportation,14451,283.74
"2023-07",DSNY,Department of Sanitation,30880,168.10
"2023-07",HPD,Department of Housing Preservation and Development,42907,498.48
"2023-07",NYPD,New York City Police Department,130495,1.24
"2023-08",DEP,Department of Environmental Protection,14417,92.88
"2023-08",DOT,Department of Transportation,15766,347.06
"2023-08",DSNY,Department of Sanitation,31531,162.59
"2023-08",HPD,Department of Housing Preservation and Development,43513,528.29
"2023-08",NYPD,New York City Police Department,127453,1.53
"2023-09",DEP,Department of Environmental Protection,18411,81.86
"2023-09",DOT,Department of Transportation,14590,311.66
"2023-09",DSNY,Department of Sanitation,28974,170.16
"2023-09",HPD,Department of Housing Preservation and Development,49769,530.44
"2023-09",NYPD,New York City Police Department,126839,1.46
"2023-10",DEP,Department of Environmental Protection,15386,107.02
"2023-10",DOT,Department of Transportation,15290,290.37
"2023-10",DSNY,Department of Sanitation,28434,152.34
"2023-10",HPD,Department of Housing Preservation and Development,73722,514.88
"2023-10",NYPD,New York City Police Department,126302,1.56
"2023-11",DEP,Department of Environmental Protection,11531,113.00
"2023-11",DOT,Department of Transportation,13398,301.46
"2023-11",DSNY,Department of Sanitation,23430,123.83
"2023-11",HPD,Department of Housing Preservation and Development,86678,418.53
"2023-11",NYPD,New York City Police Department,109598,1.83
"2023-12",DEP,Department of Environmental Protection,11554,101.69
"2023-12",DOT,Department of Transportation,14268,257.39
"2023-12",DSNY,Department of Sanitation,21268,122.23
"2023-12",HPD,Department of Housing Preservation and Development,74795,443.35
"2023-12",NYPD,New York City Police Department,112156,2.16
"2024-01",DEP,Department of Environmental Protection,13176,88.52
"2024-01",DOT,Department of Transportation,17096,259.50
"2024-01",DSNY,Department of Sanitation,23335,133.47
"2024-01",HPD,Department of Housing Preservation and Development,98867,361.55
"2024-01",NYPD,New York City Police Department,103952,2.02
"2024-02",DEP,Department of Environmental Protection,11603,110.97
"2024-02",DOT,Department of Transportation,15743,251.76
"2024-02",DSNY,Department of Sanitation,20170,124.36
"2024-02",HPD,Department of Housing Preservation and Development,65847,350.31
"2024-02",NYPD,New York City Police Department,98779,1.97
"2024-03",DEP,Department of Environmental Protection,13353,99.16
"2024-03",DOT,Department of Transportation,19423,212.59
"2024-03",DSNY,Department of Sanitation,21916,116.08
"2024-03",HPD,Department of Housing Preservation and Development,63125,352.15
"2024-03",NYPD,New York City Police Department,114153,2.00
"2024-04",DEP,Department of Environmental Protection,13514,114.04
"2024-04",DOT,Department of Transportation,19112,219.50
"2024-04",DSNY,Department of Sanitation,23078,128.43
"2024-04",HPD,Department of Housing Preservation and Development,52805,340.47
"2024-04",NYPD,New York City Police Department,117585,1.93
"2024-05",DEP,Department of Environmental Protection,13880,116.77
"2024-05",DOT,Department of Transportation,17013,231.12
"2024-05",DSNY,Department of Sanitation,26502,120.65
"2024-05",HPD,Department of Housing Preservation and Development,42644,319.14
"2024-05",NYPD,New York City Police Department,136507,1.81
