"month_year","agency","agency_name","complaint_count","avg_resolution_hours"
"2013-01",HPD,Department of Housing Preservation and Development,79910,266.60
"2013-01",HPD,Division of Alternative Management,18,5426.67
"2013-01",HPD,HPD,1,0.92
"2013-01",NYPD,New York City Police Department,23354,8.28
"2013-02",DEP,Department of Environmental Protection,10321,187.27
"2013-02",DOT,Department of Transportation,24144,364.35
"2013-02",DSNY,Department of Sanitation,12010,1474.37
"2013-02",HPD,Department of Housing Preservation and Development,59967,238.50
"2013-02",HPD,Division of Alternative Management,11,6615.27
"2013-02",NYPD,New York City Police Department,22062,7.68
"2013-03",DEP,Department of Environmental Protection,10294,206.29
"2013-03",DOT,Department of Transportation,25603,265.19
"2013-03",DSNY,Department of Sanitation,13933,2050.00
"2013-03",HPD,Department of Housing Preservation and Development,51256,212.84
"2013-03",HPD,Division of Alternative Management,15,3355.20
"2013-03",NYPD,New York City Police Department,25959,5.42
"2013-04",DEP,Department of Environmental Protection,11598,241.12
"2013-04",DOT,Department of Transportation,23251,299.76
"2013-04",DSNY,Department of Sanitation,13539,1151.43
"2013-04",HPD,Department of Housing Preservation and Development,42290,214.35
"2013-04",HPD,Division of Alternative Management,2,26760.00
"2013-04",NYPD,New York City Police Department,27458,3.91
"2013-05",DEP,Department of Environmental Protection,13530,203.19
"2013-05",DOT,Department of Transportation,22711,297.06
"2013-05",DSNY,Department of Sanitation,12795,752.64
"2013-05",HPD,Department of Housing Preservation and Development,36802,249.77
"2013-05",HPD,Division of Alternative Management,1,47232.00
"2013-05",NYPD,New York City Police Department,33667,3.20
"2013-06",DEP,Department of Environmental Protection,14763,214.77
"2013-06",DOT,Department of Transportation,22230,310.26
"2013-06",DSNY,Department of Sanitation,17627,494.67
"2013-06",HPD,Department of Housing Preservation and Development,33291,283.26
"2013-06",HPD,Division of Alternative Management,2,11160.00
"2013-06",NYPD,New York City Police Department,34412,3.23
"2013-07",DEP,Department of Environmental Protection,20326,142.28
"2013-07",DOT,Department of Transportation,21028,314.24
"2013-07",DSNY,Department of Sanitation,18523,728.35
"2013-07",HPD,Department of Housing Preservation and Development,38042,320.54
